流动资产合计,([货币资金]+[结算备付金]+[拆出资金]+[交易性金融资产]+[衍生金融资产]+[应收票据]+[应收账款]+[应收款项融资]+[预付款项]+[应收保费]+[应收分保账款]+[应收分保合同准备金]+[其他应收款]+[其他应收款-应收利息]+[其他应收款-应收股利]+[买入返售金融资产]+[存货]+[合同资产]+[持有待售资产]+[一年内到期的非流动资产]+[其他流动资产])-[其他应收款-应收利息]-[其他应收款-应收股利]
非流动资产合计,([发放贷款和垫款]+[债权投资]+[其他债权投资]+[长期应收款]+[长期股权投资]+[其他权益工具投资]+[其他非流动金融资产]+[投资性房地产]+[固定资产]+[在建工程]+[生产性生物资产]+[油气资产]+[使用权资产]+[无形资产]+[开发支出]+[商誉]+[长期待摊费用]+[递延所得税资产]+[其他非流动资产])
资产总计,([货币资金]+[结算备付金]+[拆出资金]+[交易性金融资产]+[衍生金融资产]+[应收票据]+[应收账款]+[应收款项融资]+[预付款项]+[应收保费]+[应收分保账款]+[应收分保合同准备金]+[其他应收款]+[其他应收款-应收利息]+[其他应收款-应收股利]+[买入返售金融资产]+[存货]+[合同资产]+[持有待售资产]+[一年内到期的非流动资产]+[其他流动资产])-[其他应收款-应收利息]-[其他应收款-应收股利]+([发放贷款和垫款]+[债权投资]+[其他债权投资]+[长期应收款]+[长期股权投资]+[其他权益工具投资]+[其他非流动金融资产]+[投资性房地产]+[固定资产]+[在建工程]+[生产性生物资产]+[油气资产]+[使用权资产]+[无形资产]+[开发支出]+[商誉]+[长期待摊费用]+[递延所得税资产]+[其他非流动资产])
流动负债合计,([短期借款]+[向中央银行借款]+[拆入资金]+[交易性金融负债]+[衍生金融负债]+[应付票据]+[应付账款]+[预收款项]+[合同负债]+[卖出回购金融资产款]+[吸收存款及同业存放]+[代理买卖证券款]+[代理承销证券款]+[应付职工薪酬]+[应交税费]+[其他应付款]+[其他应付款-应付利息]+[其他应付款-应付股利]+[应付手续费及佣金]+[应付分保账款]+[持有待售负债]+[一年内到期的非流动负债]+[其他流动负债])-[其他应付款-应付利息]-[其他应付款-应付股利]
非流动负债合计,([保险合同准备金]+[长期借款]+[应付债券]+[应付债券-优先股]+[应付债券-永续债]+[租赁负债]+[长期应付款]+[长期应付职工薪酬]+[预计负债]+[递延收益]+[递延所得税负债]+[其他非流动负债])-[应付债券-优先股]-[应付债券-永续债]
负债合计,([短期借款]+[向中央银行借款]+[拆入资金]+[交易性金融负债]+[衍生金融负债]+[应付票据]+[应付账款]+[预收款项]+[合同负债]+[卖出回购金融资产款]+[吸收存款及同业存放]+[代理买卖证券款]+[代理承销证券款]+[应付职工薪酬]+[应交税费]+[其他应付款]+[其他应付款-应付利息]+[其他应付款-应付股利]+[应付手续费及佣金]+[应付分保账款]+[持有待售负债]+[一年内到期的非流动负债]+[其他流动负债])-[其他应付款-应付利息]-[其他应付款-应付股利]+([保险合同准备金]+[长期借款]+[应付债券]+[应付债券-优先股]+[应付债券-永续债]+[租赁负债]+[长期应付款]+[长期应付职工薪酬]+[预计负债]+[递延收益]+[递延所得税负债]+[其他非流动负债])-[应付债券-优先股]-[应付债券-永续债]
所有者权益合计,([股本]+[其他权益工具]+[其他权益工具-优先股]+[其他权益工具-永续债]+[资本公积]+[库存股]+[其他综合收益]+[专项储备]+[盈余公积]+[一般风险准备]+[未分配利润])-[其他权益工具-优先股]-[其他权益工具-永续债]+[少数股东权益]
营业总收入,([营业收入]+[利息收入]+[已赚保费]+[手续费及佣金收入])
营业总成本,([营业成本]+[利息支出]+[手续费及佣金支出]+[退保金]+[赔付支出净额]+[提取保险责任准备金净额]+[保单红利支出]+[分保费用]+[税金及附加]+[销售费用]+[管理费用]+[研发费用]+[财务费用])
营业利润,([营业收入]+[利息收入]+[已赚保费]+[手续费及佣金收入])-([营业成本]+[利息支出]+[手续费及佣金支出]+[退保金]+[赔付支出净额]+[提取保险责任准备金净额]+[保单红利支出]+[分保费用]+[税金及附加]+[销售费用]+[管理费用]+[研发费用]+[财务费用])+[其他收益]+[投资收益]+[汇兑收益]+[净敞口套期收益]+[公允价值变动收益]+[信用减值损失]+[资产减值损失]+[资产处置收益]
净利润,([营业收入]+[利息收入]+[已赚保费]+[手续费及佣金收入])-([营业成本]+[利息支出]+[手续费及佣金支出]+[退保金]+[赔付支出净额]+[提取保险责任准备金净额]+[保单红利支出]+[分保费用]+[税金及附加]+[销售费用]+[管理费用]+[研发费用]+[财务费用])+[其他收益]+[投资收益]+[汇兑收益]+[净敞口套期收益]+[公允价值变动收益]+[信用减值损失]+[资产减值损失]+[资产处置收益]+[营业外收入]-[营业外支出]-[所得税费用]
经营活动现金流入小计,([销售商品、提供劳务收到的现金]+[客户存款和同业存放款项净增加额]+[向中央银行借款净增加额]+[向其他金融机构拆入资金净增加额]+[收到原保险合同保费取得的现金]+[收到再保业务现金净额]+[保户储金及投资款净增加额]+[收取利息、手续费及佣金的现金]+[拆入资金净增加额]+[回购业务资金净增加额]+[代理买卖证券收到的现金净额]+[收到的税费返还]+[收到其他与经营活动有关的现金])
经营活动现金流出小计,([购买商品、接受劳务支付的现金]+[客户贷款及垫款净增加额]+[存放中央银行和同业款项净增加额]+[支付原保险合同赔付款项的现金]+[拆出资金净增加额]+[支付利息、手续费及佣金的现金]+[支付保单红利的现金]+[支付给职工及为职工支付的现金]+[支付的各项税费]+[支付其他与经营活动有关的现金])
经营活动产生的现金流量净额,([销售商品、提供劳务收到的现金]+[客户存款和同业存放款项净增加额]+[向中央银行借款净增加额]+[向其他金融机构拆入资金净增加额]+[收到原保险合同保费取得的现金]+[收到再保业务现金净额]+[保户储金及投资款净增加额]+[收取利息、手续费及佣金的现金]+[拆入资金净增加额]+[回购业务资金净增加额]+[代理买卖证券收到的现金净额]+[收到的税费返还]+[收到其他与经营活动有关的现金])-([购买商品、接受劳务支付的现金]+[客户贷款及垫款净增加额]+[存放中央银行和同业款项净增加额]+[支付原保险合同赔付款项的现金]+[拆出资金净增加额]+[支付利息、手续费及佣金的现金]+[支付保单红利的现金]+[支付给职工及为职工支付的现金]+[支付的各项税费]+[支付其他与经营活动有关的现金])
投资活动现金流入小计,([收回投资收到的现金]+[取得投资收益收到的现金]+[处置固定资产、无形资产和其他长期资产收回的现金净额]+[处置子公司及其他营业单位收到的现金净额]+[收到其他与投资活动有关的现金])
